Round,All India Rank,Choice No.,Institute,Course,Allotted Quota,Allotted/Candidate Category,Cand_Cat_Split,Status
1,6962,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,OBC-A (Non- Creamy Layer) OBC-A (Non- Creamy Layer),,Retained
3,7000,2,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR,General,Upgraded
1,7038,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,EWS,EWS,Retained
1,7048,-,"NILRATAN SIRKAR MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Not Upgraded
1,7079,-,"NILRATAN SIRKAR MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Not Upgraded
1,7116,-,"NILRATAN SIRKAR MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,7178,-,"NILRATAN SIRKAR MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,7223,-,"NILRATAN SIRKAR MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,7243,-,"NILRATAN SIRKAR MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Not Upgraded
1,7272,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,OBC-A (Non- Creamy Layer) OBC-A (Non- Creamy Layer),,Retained
1,7275,-,"NILRATAN SIRKAR MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Not Upgraded
1,7361,-,"NILRATAN SIRKAR MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Not Upgraded
1,7364,-,"NILRATAN SIRKAR MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Not Upgraded
1,7399,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,OBC-B (Non- Creamy Layer) OBC-B (Non- Creamy Layer),,Retained
1,7449,-,"NILRATAN SIRKAR MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Not Upgraded
1,7466,-,"NILRATAN SIRKAR MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,7480,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,OBC-A (Non- Creamy Layer) OBC-A (Non- Creamy Layer),,Retained
1,7567,-,"NILRATAN SIRKAR MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR OBC (Non-Creamy Layer),,Not Upgraded
1,7628,-,"NILRATAN SIRKAR MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Not Upgraded
1,7680,-,"NILRATAN SIRKAR MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Not Upgraded
1,7701,-,"NILRATAN SIRKAR MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,7703,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,EWS,EWS,Retained
1,7773,-,"NILRATAN SIRKAR MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Not Upgraded
1,7785,-,"NILRATAN SIRKAR MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,7788,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,OBC-A (Non- Creamy Layer) OBC-A (Non- Creamy Layer),,Retained
1,7822,-,"NILRATAN SIRKAR MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR OBC (Non-Creamy Layer),,Retained
1,7825,-,"NILRATAN SIRKAR MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,7852,-,"NILRATAN SIRKAR MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,7867,-,"NILRATAN SIRKAR MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,7870,-,"NILRATAN SIRKAR MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,7894,-,"NILRATAN SIRKAR MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,7908,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,OBC-B (Non- Creamy Layer) OBC-B (Non- Creamy Layer),,Retained
1,7924,-,"NILRATAN SIRKAR MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,7925,-,"NILRATAN SIRKAR MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,7974,-,"NILRATAN SIRKAR MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,8004,-,"NILRATAN SIRKAR MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,8006,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,OBC-B (Non- Creamy Layer) OBC-B (Non- Creamy Layer),,Retained
1,8007,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,EWS,EWS,Retained
1,8021,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,OBC-A (Non- Creamy Layer) OBC-A (Non- Creamy Layer),,Retained
1,8032,-,"NILRATAN SIRKAR MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,8045,-,"NILRATAN SIRKAR MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Not Upgraded
1,8092,-,"NILRATAN SIRKAR MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,8129,-,"NILRATAN SIRKAR MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,8146,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,OBC-B (Non- Creamy Layer) OBC-B (Non- Creamy Layer),,Retained
1,8163,-,"NILRATAN SIRKAR MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,8174,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,OBC-B (Non- Creamy Layer) OBC-B (Non- Creamy Layer),,Retained
1,8179,-,"NILRATAN SIRKAR MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,8188,-,"NILRATAN SIRKAR MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,8196,-,"NILRATAN SIRKAR MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,8202,-,"NILRATAN SIRKAR MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,8223,-,"NILRATAN SIRKAR MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,8237,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,OBC-B (Non- Creamy Layer) OBC-B (Non- Creamy Layer),,Retained
1,8277,-,"NILRATAN SIRKAR MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,8279,-,"NILRATAN SIRKAR MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,8332,-,"NILRATAN SIRKAR MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Not Upgraded
1,8347,-,"NILRATAN SIRKAR MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
